,Less than 1 year,1 to 2 years,3 to 5 years,6 to 9 years,More than 10 years,Low,Average,High
executive office professional,,,,,,7.91,17.49,38.65
executive vice president,,,,,,"86,304","162,345","305,382"
facilities manager,,,,,,"46,319","72,688","114,070"
faculty,,,,,,"31,567","64,400","131,382"
family nurse practitioner,"137,605","165,312","167,407",-,-,"122,317","158,109","204,373"
farmer,,,,,,11.62,18.13,28.30
field engineer,,,,,,"53,200","76,521","110,064"
field service engineer,,,,,,"62,875","81,907","106,699"
field service technician,,,,,,16.44,24.72,37.16
finance director,,,,,,"67,799","110,101","178,797"
finance manager,"93,680",-,-,-,"117,169","62,157","108,176","188,268"
financial advisor,-,"65,845",-,"102,454","111,531","41,177","77,923","147,459"
financial analyst,"70,359","72,545","80,410","87,340","90,451","53,047","76,646","110,744"
financial representative,,,,,,"35,814","70,513","138,831"
financial services professional,,,,,,"40,971","81,077","160,440"
firefighter,,,,,,"36,409","53,814","79,537"
flight attendant,,,,,,17.47,27.04,41.86
food & beverages professional,,,,,,"47,988","69,826","101,600"
food production professional,,,,,,11.66,16.81,24.23
food server,,,,,,10.18,17.14,28.87
foreman,,,,,,19.71,28.68,41.72
founder,,,,,,"25,066","48,343","93,235"
founder & ceo,,,,,,"20,887","47,726","109,053"
freelance writer,,,,,,10.41,25.02,60.10
general contractor,,,,,,13.00,21.74,36.37
general dentist,,,,,,"142,057","231,886","378,517"
general manager,"58,523","59,415",-,-,"68,347","35,651","61,407","105,770"
gm,"58,523","59,415",-,-,"68,347","35,651","61,407","105,770"
graduate research assistant,,,,,,"19,424","29,613","45,147"
graphic design professional,19.83,20.79,-,-,28.19,12.95,21.90,37.05
graphic designer,19.83,20.79,-,-,28.19,12.95,21.90,37.05
hair stylist,18.27,-,-,-,27.11,11.90,22.61,42.95
hairstylist,18.27,-,-,-,27.11,11.90,22.61,42.95
"health, wellness and fitness professional",,,,,,15.50,28.16,51.14
home health aide,-,-,-,16.53,16.95,10.47,15.85,23.98
hospital & health care professional,,,,,,10.42,20.01,38.42
housekeeper,14.08,-,15.78,16.31,17.10,9.81,15.04,23.04
hr,,,,,,"34,247","57,764","97,428"
hr manager,"76,633","77,926","83,448","84,840","87,043","55,107","80,957","118,933"
human resources,,,,,,"34,247","57,764","97,428"
human resources director,"89,165",-,-,"110,604","116,644","66,169","103,287","161,229"
human resources generalist,,,,,,"47,303","63,538","85,346"
human resources manager,"76,633","77,926","83,448","84,840","87,043","55,107","80,957","118,933"
human resources professional,,,,,,"34,247","57,764","97,428"
human resources specialist,,,,,,"34,247","57,764","97,428"
independent accounting professional,-,"58,269",-,-,"72,354","43,261","62,843","91,289"
independent apparel & fashion professional,,,,,,7.25,14.12,28.26
independent business owner,,,,,,8.67,18.18,38.14
independent consultant,,,,,,"36,492","64,990","115,745"
independent contractor,,,,,,7.25,20.86,63.76
independent design professional,,,,,,"43,121","74,123","127,416"
independent distributor,,,,,,"36,693","72,647","143,830"
independent education management professional,,,,,,"40,864","65,391","104,638"
independent entertainment professional,,,,,,7.49,16.98,38.50
independent financial services professional,,,,,,"40,971","81,077","160,440"
independent food & beverages professional,,,,,,"47,988","69,826","101,600"
independent graphic design professional,19.83,20.79,-,-,28.19,12.95,21.90,37.05
"independent health, wellness and fitness professional",,,,,,15.50,28.16,51.14
independent hospital & health care professional,,,,,,10.42,20.01,38.42
independent human resources professional,,,,,,"34,247","57,764","97,428"
independent individual & family services professional,,,,,,"31,936","54,379","92,595"
independent information technology and services professional,-,"43,574","43,151",-,"59,549","22,546","46,443","95,670"
independent investment management professional,,,,,,"57,156","103,417","187,122"
"independent leisure, travel & tourism professional",,,,,,11.05,18.46,30.83
independent management consulting professional,,,,,,"36,492","64,990","115,745"
independent marketing and advertising professional,,,,,,8.42,16.79,33.47
independent mental health care professional,,,,,,12.67,26.58,55.77
independent music professional,,,,,,"18,087","30,549","51,599"
independent non-profit organization management professional,,,,,,"41,103","76,641","142,906"
independent photography professional,17.11,17.42,18.08,23.31,26.49,8.29,19.86,47.55
independent real estate professional,,,,,,"43,121","86,213","172,364"
independent research professional,,,,,,"35,595","80,006","179,830"
independent retail professional,14.57,14.05,15.97,17.55,18.16,10.54,14.99,21.33
independent writing and editing professional,,,,,,"39,293","67,643","116,446"
individual & family services professional,,,,,,"31,936","54,379","92,595"
information technology and services professional,-,"43,574","43,151",-,"59,549","22,546","46,443","95,670"
information technology specialist,-,"43,574","43,151",-,"59,549","22,546","46,443","95,670"
inside sales,,,,,,"32,280","58,468","105,902"
inside sales representative,,,,,,"32,280","58,468","105,902"
inspector,,,,,,12.87,22.68,39.94
instructor,,,,,,12.50,24.66,48.64
insurance agent,"63,348","63,246",-,"75,609","82,047","33,666","66,541","131,519"
interior designer,"58,158","56,834",-,-,"90,097","43,004","69,310","111,708"
intern,,,,,,12.31,19.95,32.33
investigator,,,,,,"44,950","77,293","132,909"
it manager,-,"91,545",-,-,"105,095","64,209","96,406","144,747"
it specialist,,,,,,13.91,22.94,37.83
kindergarten teacher,16.66,-,21.64,-,23.16,12.46,20.39,33.36
laboratory technician,,,,,,12.65,23.99,45.52
laborer,,,,,,12.00,16.94,23.92
law enforcement professional,,,,,,"31,211","50,393","81,366"
lawyer,,,,,,"54,140","98,365","178,714"
lecturer,,,,,,"37,763","58,406","90,333"
legal assistant,-,19.16,-,21.84,24.91,14.14,20.59,29.98
legal secretary,17.42,19.29,-,22.78,26.78,13.54,21.06,32.76
letter carrier,,,,,,13.24,19.71,29.35
librarian,-,"52,631",-,-,"78,050","37,265","58,916","93,147"
licensed clinical social worker,,,,,,32.52,53.10,86.69
licensed massage therapist,30.05,33.55,43.63,-,52.59,21.60,38.42,68.33
licensed practical nurse,31.12,-,34.18,34.26,35.54,24.18,33.06,45.18
licensed real estate agent,-,"88,284",-,-,"115,835","49,280","97,925","194,586"
licensed realtor,,,,,,"74,341","199,476","535,245"
lieutenant,,,,,,"41,973","68,331","111,244"
line cook,17.12,-,18.47,-,19.99,13.58,17.48,22.49
